ModelID,ProfileID,ProfileType
ACH-000930,PR-DNEoiz,dna
ACH-003157,PR-VG2HGb,rna
ACH-000393,PR-zkqqQA,rna
ACH-000393,PR-RMWWpu,dna
ACH-000887,PR-VBW2VX,rna
ACH-000887,PR-E1sXJN,dna
ACH-002846,PR-IwTsjz,rna
ACH-002846,PR-F4n6DY,dna
ACH-000985,PR-1oT3fV,rna
ACH-000985,PR-ZhEuUF,dna
ACH-000952,PR-VZHEvE,rna
ACH-000952,PR-81oclJ,dna
ACH-000231,PR-ZzHTvC,rna
ACH-000231,PR-34luyw,dna
ACH-000087,PR-39HBc7,rna
ACH-000087,PR-bFkp19,dna
ACH-001111,PR-EB847Y,rna
ACH-001111,PR-GzomD6,dna
ACH-000294,PR-A2ryTk,rna
ACH-000294,PR-xLaSFy,dna
ACH-001609,PR-8aUlkq,rna
ACH-001609,PR-K9Bi2i,dna
ACH-000975,PR-s28NRl,rna
ACH-000975,PR-UPMOnp,dna
ACH-000053,PR-1ZmtTs,rna
ACH-000053,PR-yqcDUP,dna
ACH-000578,PR-CqdD2n,rna
ACH-001098,PR-0hdbB5,rna
ACH-001098,PR-i0a92e,dna
ACH-001543,PR-BYfZvl,rna
ACH-001543,PR-wCP4NG,dna
ACH-000591,PR-Bdy0p3,rna
ACH-000591,PR-a8EG9o,dna
ACH-001608,PR-3JsWWy,rna
ACH-001608,PR-pm4VVX,dna
ACH-000995,PR-oHcn2T,rna
ACH-000995,PR-Ds9QdK,dna
ACH-001693,PR-v7rK69,rna
ACH-001693,PR-TUwXM3,dna
ACH-002354,PR-DaJPv6,dna
ACH-000339,PR-Iovwi2,rna
ACH-000339,PR-yBAw2p,dna
ACH-000944,PR-o718hY,rna
ACH-000944,PR-T3ZngO,dna
ACH-002921,PR-wPZRzF,rna
ACH-002921,PR-G6U4ng,dna
ACH-001119,PR-TjzlzI,rna
ACH-001119,PR-ylCfEa,dna
ACH-002404,PR-ja7LNf,rna
ACH-002404,PR-Hwjmfl,dna
ACH-001557,PR-sip3Lc,rna
ACH-001557,PR-RaUmVV,dna
ACH-001075,PR-VUoQ0c,rna
ACH-001075,PR-Gtgm4G,dna
ACH-000027,PR-aqJl6L,rna
ACH-000027,PR-0fBntb,dna
ACH-002050,PR-JxUrlU,rna
ACH-002050,PR-iVaYeh,dna
ACH-001814,PR-DaW5O4,rna
ACH-001814,PR-qOxoEw,dna
ACH-001345,PR-QqnKf7,rna
ACH-001345,PR-UrpBYx,dna
ACH-002927,PR-ey3so2,rna
ACH-002927,PR-L20QEq,dna
ACH-000152,PR-VqMWT8,rna
ACH-000152,PR-K0KOcW,dna
ACH-001767,PR-kcqeyj,dna
ACH-000878,PR-LKslp8,rna
ACH-000878,PR-DEEPBR,dna
ACH-000948,PR-3CMhX7,rna
ACH-000948,PR-1a8HqD,dna
ACH-001494,PR-ULeizv,rna
ACH-001494,PR-FGHIYf,dna
ACH-000917,PR-sLKHAb,rna
ACH-000917,PR-onxKlt,dna
ACH-000063,PR-Ny54jl,rna
ACH-000063,PR-sMfubO,dna
ACH-001791,PR-1ri2y7,rna
ACH-001791,PR-n50HQn,dna
ACH-000515,PR-b9pzyK,rna
ACH-000515,PR-dYE1Ic,dna
ACH-000684,PR-fSYZbP,rna
